Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,BLANK,Check Standard,15,Chloride,0.2,mg/L,,,,,,0.2,mg/L
140,BLANK,Check Standard,15,Chloride,0.31,mg/L,,,,,,0.309,mg/L
140,BLANK,Check Standard,15,Chloride,0.35,mg/L,,,,,,0.352,mg/L
140,BLANK,Check Standard,15,Chloride,0.26,mg/L,,,,,,0.264,mg/L
140,BLANK,Check Standard,15,Chloride,0.29,mg/L,,,,,,0.287,mg/L
140,BLANK,Check Standard,15,Chloride,0.37,mg/L,,,,,,0.374,mg/L
140,BLANK,Check Standard,15,Chloride,0.44,mg/L,,,,,,0.435,mg/L
140,BLANK,Check Standard,15,Chloride,1.06,mg/L,,,,,,1.06,mg/L
140,BLANK,Check Standard,15,Chloride,1.07,mg/L,,,,,,1.07,mg/L
140,BLANK,Check Standard,15,Chloride,0.41,mg/L,,,,,,0.41,mg/L
140,Blank,Check Standard,15,Sulfate,0.77,mg/L,,,,,,0.769,mg/L
140,Blank,Check Standard,15,Sulfate,0.39,mg/L,,,,,,0.389,mg/L
140,Blank,Check Standard,15,Sulfate,-0.55,mg/L,,,,,,-0.55,mg/L
140,Blank,Check Standard,15,Sulfate,-0.45,mg/L,,,,,,-0.445,mg/L
140,Blank,Check Standard,15,Sulfate,-1.85,mg/L,,,,,,-1.85,mg/L
140,Blank,Check Standard,15,Sulfate,-1.14,mg/L,,,,,,-1.14,mg/L
140,Blank,Check Standard,15,Sulfate,-0.35,mg/L,,,,,,-0.345,mg/L
140,Blank,Check Standard,15,Sulfate,-0.5,mg/L,,,,,,-0.501,mg/L
140,BLANK,Check Standard,15,Sulfate,1.08,mg/L,,,,,,1.08,mg/L
140,BLANK,Check Standard,15,Sulfate,0.51,mg/L,,,,,,0.511,mg/L
140,Blank,Check Standard,15,Sulfate,0.09,mg/L,,,,,,0.0855,mg/L
140,BLANK,Check Standard,15,TSS,0.4,mg/L,,,,,,0.35,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,0.001,mg/L,,,,,,0.00123,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,-0.014,mg/L,,,,,,-0.0135,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,0.031,mg/L,,,,,,0.0307,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,0.107,mg/L,,,,,,0.107,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,-0.046,mg/L,,,,,,-0.0461,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,-0.006,mg/L,,,,,,-0.00564,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,0,mg/L,,,,,,0.000377,mg/L
140,BLANK,Check Standard,15,Nitrate-Nitrite,-0.024,mg/L,,,,,,-0.0244,mg/L
140,BLANK,Check Standard,15,Nitrate-Nitrite,0.099,mg/L,,,,,,0.0987,mg/L
140,Blank,Check Standard,15,Nitrate-Nitrite,0.007,mg/L,,,,,,0.00679,mg/L
140,Blank,Check Standard,15,Total Phosphorus,0.0071,mg/L,,,,,,7.12,ppb
140,Blank,Check Standard,15,Total Phosphorus,0.0075,mg/L,,,,,,7.47,ppb
140,Blank,Check Standard,15,Total Phosphorus,0.0056,mg/L,,,,,,5.62,ppb
140,Blank,Check Standard,15,Total Phosphorus,0.0082,mg/L,,,,,,8.2,ppb
140,Blank,Check Standard,15,Total Phosphorus,0.0067,mg/L,,,,,,6.68,ppb
140,Blank,Check Standard,15,Total Phosphorus,0.0101,mg/L,,,,,,10.1,ppb
140,Blank,Check Standard,15,Total Phosphorus,-0.0018,mg/L,,,,,,-1.76,ppb
140,Blank,Check Standard,15,Total Phosphorus,-0.004,mg/L,,,,,,-3.98,ppb
140,BLANK,Check Standard,15,Total Phosphorus,-0.016,mg/L,,,,,,-16,ppb
140,BLANK,Check Standard,15,Total Phosphorus,-0.0159,mg/L,,,,,,-15.9,ppb
140,Blank,Check Standard,15,Total Phosphorus,-0.0035,mg/L,,,,,,-3.47,ppb
140,CalStd A,Calibration Standard,75,Chloride,100,mg/L,,,,,,100,mg/L
140,CalStd B,Calibration Standard,75,Chloride,50,mg/L,,,,,,50,mg/L
140,CalStd C,Calibration Standard,75,Chloride,25,mg/L,,,,,,25,mg/L
140,CalStd D,Calibration Standard,75,Chloride,10,mg/L,,,,,,10,mg/L
140,CalStd E,Calibration Standard,75,Chloride,5,mg/L,,,,,,5,mg/L
140,CalStd F,Calibration Standard,75,Chloride,2.5,mg/L,,,,,,2.5,mg/L
140,CalStd G,Calibration Standard,75,Chloride,0,mg/L,,,,,,0,mg/L
140,QA/QC,Check Standard,45,Chloride,24.6,mg/L,,,,,,24.6,mg/L
140,QA/QC,Check Standard,45,Chloride,24.7,mg/L,,,,,,24.7,mg/L
140,QA/QC,Check Standard,45,Chloride,24.5,mg/L,,,,,,24.5,mg/L
140,QA/QC,Check Standard,45,Chloride,24.7,mg/L,,,,,,24.7,mg/L
140,QA/QC,Check Standard,45,Chloride,24.9,mg/L,,,,,,24.9,mg/L
140,QA/QC,Check Standard,45,Chloride,24.5,mg/L,,,,,,24.5,mg/L
140,QA/QC,Check Standard,45,Chloride,23.6,mg/L,,,,,,23.6,mg/L
140,QA/QC,Check Standard,45,Chloride,24.3,mg/L,,,,,,24.3,mg/L
140,QA/QC,Check Standard,45,Sulfate,8.98,mg/L,,,,,,8.98,mg/L
140,QA/QC,Check Standard,45,Sulfate,8.13,mg/L,,,,,,8.13,mg/L
140,QA/QC,Check Standard,45,Sulfate,7.22,mg/L,,,,,,7.22,mg/L
140,QA/QC,Check Standard,45,Sulfate,8.04,mg/L,,,,,,8.04,mg/L
140,QA/QC,Check Standard,45,Sulfate,8.15,mg/L,,,,,,8.15,mg/L
140,QA/QC,Check Standard,45,Sulfate,6.93,mg/L,,,,,,6.93,mg/L
140,QA/QC,Check Standard,45,Sulfate,9.24,mg/L,,,,,,9.24,mg/L
